"id","cnt"
366,1866.23474085227
367,1810.49869817044
368,1857.34629554528
369,1879.61460584284
370,2096.64070531617
371,2111.74855026567
372,2029.99583065414
373,1899.89963444202
374,1864.8254203117
375,1977.1132840319
376,1917.23399754003
377,2024.01316249729
378,2039.55878467837
379,1766.36555609536
380,1743.21606935481
381,1751.13594475163
382,1871.63502059801
383,2001.90560704489
384,1960.71693347632
385,1973.07166536665
386,1702.42940312611
387,1639.24841622135
388,1728.06128142281
389,1937.00793868777
390,2048.01683006364
391,2063.79185694174
392,2248.47920167249
393,1913.2157590319
394,1853.68570610694
395,1895.79509800623
396,2105.09716101315
397,2973.43100176945
398,2260.22773453637
399,2204.57251887712
400,1946.24650030344
401,1824.38190416406
402,2010.14076649617
403,2147.94781840479
404,2090.07265918623
405,2166.17599174869
406,2182.80310855966
407,1745.48397120018
408,1896.21101397946
409,1942.21146000266
410,2033.79163603219
411,2201.97278198565
412,2217.70385906413
413,2322.28895096112
414,2063.91113650058
415,1931.85915992208
416,1912.85025699226
417,2083.99792888933
418,2330.15221319985
419,2613.18243493858
420,2310.73425230519
421,2031.99428386203
422,1975.5972003179
423,2100.7194601862
424,2141.33631840479
425,2092.37204966242
426,3183.76079990203
427,2281.96964329428
428,2348.19495246893
429,2077.06365910949
430,2017.73897385644
431,2068.74222157769
432,2307.00554196879
433,3099.23250228299
434,2354.2148942998
435,2095.49082383366
436,2168.23324356068
437,2893.20499990204
438,3187.30073323537
439,3189.64140466394
440,3168.27083799727
441,2539.35957984988
442,3082.16403517772
443,2869.90379113011
444,3004.3741665687
445,3063.99980466394
446,3443.90769275432
447,3515.04203307098
448,3515.46960862734
449,3210.50564196067
450,2587.9765507326
451,2784.74800952381
452,2610.74697747253
453,3621.50568655084
454,3635.32071080586
455,2652.95757172827
456,2644.77601263736
457,2891.70200062657
458,3071.81896894158
459,3738.28415372405
460,4030.47556438966
461,3151.95812022364
462,3091.38480355697
463,3174.60799403316
464,3999.5108492674
465,3809.20336593407
466,3203.26551069983
467,2882.45916894158
468,3067.5639368903
469,3229.89304403316
470,4175.93867757648
471,4027.88965962776
472,3932.11591187551
473,4127.87313388278
474,3421.87241566416
475,3976.45330217965
476,3981.12234424314
477,4063.38081090981
478,2090.01114745196
479,2603.97587919799
480,3051.13355355697
481,4023.94045641026
482,3619.60696741855
483,3292.30812736649
484,2904.90221253133
485,3344.89107846539
486,3515.7489489975
487,4052.22640551378
488,4015.39989200036
489,3849.08773646617
490,4301.86586694763
491,4054.42578646616
492,4003.66056265664
493,3941.82539122807
494,3864.18777218045
495,3762.92425551378
496,4143.54565677447
497,4427.92479944441
498,4564.67137185384
499,4223.95699813312
500,3790.55266265664
501,3924.93337218045
502,4257.54667684884
503,4252.80276629828
504,4370.719232027
505,4614.4464337157
506,4269.92189596861
507,3776.31709598998
508,4023.90913408521
509,3945.4416229741
510,4218.53429638486
511,4293.30602250319
512,4315.643180584
513,4144.32613146645
514,4029.07789107351
515,4093.48687582209
516,3938.45349598998
517,4336.62560439352
518,3924.08780075188
519,4498.43747260459
520,4450.61094101951
521,4385.96222132254
522,4087.50790075188
523,4386.25938243365
524,4315.3422812626
525,4575.54605182537
526,4596.54847816014
527,4336.2972299084
528,4122.4808245614
529,3832.35376741855
530,4255.38093950435
531,4334.66599792926
532,4472.90844230156
533,4557.88002260459
534,4306.84735371792
535,3874.07574122807
536,4285.27204006491
537,4190.30367296534
538,4168.65360215716
539,4261.95949612542
540,4473.93780365122
541,4327.04947457474
542,4393.20916082598
543,4371.12113111583
544,4563.22941444916
545,4390.36632356464
546,4002.61699153566
547,4351.87016041113
548,3879.55033678593
549,4214.98465658639
550,4311.5693623584
551,4188.24698572836
552,3927.74562570932
553,3909.99970983631
554,3822.25588761409
555,3781.59488126488
556,4098.28897547715
557,4180.9022746835
558,4324.90292626609
559,4352.11439712885
560,4481.94458817557
561,4168.84217547716
562,4073.60633728377
563,4071.3967623584
564,3961.58522086388
565,4157.38562188221
566,4157.83628704512
567,3723.29471503759
568,3015.90495710109
569,4177.72106912795
570,4022.40900148594
571,4161.56213128392
572,4468.65254654026
573,4130.69159724048
574,4228.09418387051
575,4354.85410648956
576,4331.13662360794
577,4124.52541161963
578,4272.78160050852
579,4194.82053960455
580,4077.47217694639
581,3986.07800222734
582,4247.93603726385
583,3982.36746424798
584,3997.80182774627
585,4078.48150310132
586,3951.46467853992
587,4173.61246754468
588,3878.8827291697
589,3952.43512043954
590,4380.59601295492
591,4261.43565648767
592,4196.19903686285
593,4353.20206216653
594,4350.09001212676
595,4343.85837888223
596,4517.40268854937
597,4182.46721897434
598,4014.03109992672
599,4499.85155413171
600,4449.31442988929
601,4391.53767390291
602,4341.67943341366
603,3938.20271091573
604,3578.82760075188
605,4151.90361070688
606,4324.87417605698
607,4439.97547634462
608,4428.09811173768
609,4254.40843213564
610,4241.06042256077
611,4165.10433341366
612,3963.34918546366
613,4147.40232749265
614,4168.69205753594
615,3809.62322785811
616,4360.96039305081
617,3761.76255551378
618,4355.48215580255
619,4303.9595525444
620,4477.98803190948
621,4348.41463349679
622,4459.57580421525
623,4487.27739707239
624,4514.93088913588
625,4416.64648278668
626,4036.32295404859
627,3190.57922619048
628,4352.4908525444
629,4352.88682485017
630,4408.34597008826
631,4436.59501770731
632,4367.84673448242
633,4291.37432144823
634,4302.36530240061
635,4286.73065597204
636,3920.67411739927
637,4039.26427216117
638,4472.75998210147
639,4286.73100114909
640,4149.85701507937
641,3032.65070634921
642,3957.63256984127
643,3848.48688809524
644,4383.99153776097
645,4372.64322506256
646,3213.40015753241
647,3053.83028690108
648,3130.2590317621
649,4153.8999663324
650,3390.50372916738
651,3441.01553750071
652,3413.69333357914
653,4196.06214411018
654,3780.23705714286
655,3859.99436056317
656,3542.49812779016
657,3655.84048809524
658,3686.80622857143
659,4391.46949172922
660,3744.7916949199
661,4228.08649688795
662,4288.92316355462
663,4286.15308855462
664,3642.53864523809
665,3730.7332952381
666,3940.74277142857
667,3452.74198809524
668,2071.85304586466
669,2984.70928157895
670,3162.64782419907
671,2945.71905314875
672,3162.4341601844
673,3091.11643239333
674,3033.52200563894
675,3132.47805826132
676,3077.82396074579
677,3003.19938404168
678,2871.69562492799
679,3121.49822685106
680,3284.95999544198
681,3181.71585258484
682,3682.67725822828
683,2967.5789863097
684,3103.76315262891
685,3060.91097695827
686,3113.42140724322
687,3125.16278897228
688,3079.57953366454
689,3217.07916964304
690,3202.17424765424
691,3231.64948778297
692,2721.96082621121
693,3068.89088115626
694,2873.37182871586
695,2772.73782867179
696,3161.35374383555
697,2926.20747604252
698,3135.91227871587
699,2955.2552347277
700,3202.8170644896
701,3125.89099822773
702,2995.85355695789
703,3351.34288008476
704,3624.92273050898
705,3062.92076949547
706,2871.01148399194
707,3139.66790757394
708,2871.20765202031
709,2644.36043456
710,2707.73775943904
711,3131.19363810548
712,3031.5339152499
713,3078.67312923003
714,3190.77650494046
715,3212.03502196788
716,3055.02662420176
717,2995.72583124109
718,3178.23847962215
719,3170.25384143142
720,3172.00765757394
721,2187.68418182012
722,1975.54161814768
723,2002.09131048264
724,2048.71913697837
725,1821.19640083673
726,1831.38918124292
727,2124.87169220973
728,2194.91882904186
729,1991.15909873051
730,1910.17436311105
731,1961.524871899
